Fecha,Producto,Division,Precio,Variacion,Porcentaje
2025-06-02 21:21,Tomate Perita x 1 Kg,Frescos,5780.0,0.0,0.0
2025-06-02 21:21,Zanahoria x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-02 21:21,Zapallo x 1 Kg,Frescos,890.0,0.0,0.0
2025-06-02 21:21,Manzana Roja x 1 Kg,Frescos,5380.0,0.0,0.0
2025-06-02 21:21,Mandarina x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-02 21:21,Naranja Jugo x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-02 21:21,Banana x 1 Kg,Frescos,3980.0,0.0,0.0
2025-06-02 21:21,Pera x 1 Kg,Frescos,1690.0,0.0,0.0
2025-06-02 21:21,Asado x Kg,Frescos,13600.0,0.0,0.0
2025-06-02 21:21,Carnaza Comun x Kg,Frescos,10500.0,0.0,0.0
2025-06-02 21:21,Paleta en Churrasco Envasado al Vacío x 1 Kg.,Frescos,14100.0,0.0,0.0
2025-06-02 21:21,Carne picada Especial Atmósfera Modificada 500 Gr,Frescos,14000.0,0.0,0.0
2025-06-02 21:21,Milanesa De Nalga Carnes De La Estancia Envasado Al Vacío X 1 Kg,Frescos,8450.0,0.0,0.0
2025-06-02 21:21,Pollo Entero x 1 Kg (precio por kg),Frescos,2990.0,0.0,0.0
2025-06-02 21:21,Filet de Merluza Rebozado a la Romana Dia 500 Gr (Carne de pescado - opción rebozada),Frescos,9990.0,0.0,0.0
2025-06-02 21:21,Leche Entera DIA Sachet 1 Lt.,Frescos,13900.0,0.0,0.0
2025-06-02 21:21,Queso Crema DIA Normandia 290 Gr.,Frescos,2990.0,0.0,0.0
2025-06-02 21:21,Queso Cremoso Dia X Kg. (Proxy para Queso Cuartirolo),Frescos,12890.0,0.0,0.0
2025-06-02 21:21,Queso Rallado DIA 150 Gr,Frescos,4190.0,0.0,0.0
2025-06-02 21:21,"Yogur Bebible Frutilla La Serenisima 1,1 Lt.",Frescos,7380.0,0.0,0.0
2025-06-02 21:21,"Aceite de Girasol Natura 1,5 Lt.",Almacén,4470.0,0.0,0.0
2025-06-02 21:21,Gaseosa Coca-Cola Sabor Original 2.25 Lt.,Bebidas alcohólicas y tabaco,8400.0,0.0,0.0
2025-06-02 21:21,Sifon De Soda Sin Tacc Dia 2 Lt.,Bebidas alcohólicas y tabaco,2900.0,0.0,0.0
2025-06-02 21:21,Cerveza Lager Oslava 1 Lt.,Bebidas alcohólicas y tabaco,2580.0,0.0,0.0
2025-06-02 21:21,Sal Fina en Paquete Celusal 500 Gr.,Almacén,1325.0,0.0,0.0
2025-06-02 21:21,Vinagre de Alcohol Dia 1 Lt.,Almacén,1050.0,0.0,0.0
2025-06-02 21:21,Dolca Suave Nescafé x 100 Gr. (Instantáneo),Almacén,7190.0,0.0,0.0
